# Разрешаем всем поисковым системам индексировать весь сайт, за исключением следующих разделов
User-agent: *
Disallow: /admin/
Disallow: /private/
Disallow: /login/
Disallow: /register/

# Разрешаем индексацию страницы о нас, блога и прочего контента, который должен быть публичным
Allow: /about/
Allow: /blog/

# Для предотвращения индексации временных или кешируемых файлов (например, изображения с аватарами или миниатюры)
Disallow: /uploads/

# Указываем путь к Sitemap (если есть)
Sitemap: https://expfr.com/sitemap.xml
